time	V(v+)	I(I1)
Step Information: Illu=86  (Step: 1/7)
8.307982597034425e-02	1.292504e-03	4.289391e-03
9.382201347034425e-02	1.144350e-03	4.289461e-03
1.065173259703442e-01	1.007825e-03	4.289526e-03
1.221423259703442e-01	8.787896e-04	4.289586e-03
1.406970134703442e-01	7.628127e-04	4.289641e-03
1.631579509703442e-01	6.577355e-04	4.289690e-03
1.895251384703442e-01	5.661809e-04	4.289734e-03
2.227282634703442e-01	4.817397e-04	4.289773e-03
2.637438884703442e-01	4.067946e-04	4.289809e-03
3.155017009703442e-01	3.400393e-04	4.289840e-03
3.828845134703442e-01	2.801814e-04	4.289868e-03
4.717517009703442e-01	2.273907e-04	4.289893e-03
5.918688884703442e-01	1.812352e-04	4.289915e-03
7.608142009703442e-01	1.409852e-04	4.289933e-03
9.785876384703442e-01	1.096075e-04	4.289948e-03
9.990954509703442e-01	1.073574e-04	4.289949e-03
1.000000000000000e+00	1.072602e-04	4.289949e-03
Step Information: Illu=7.2K  (Step: 5/7)
0.000000000000000e+00	4.846517e-01	0.000000e+00
2.621439925860614e-04	4.745140e-01	2.614961e-03
5.242879851721227e-04	4.428013e-01	5.211117e-03
1.048575970344245e-03	3.347487e-01	9.175821e-03
2.025138470344245e-03	1.681584e-01	9.297715e-03
3.001700970344245e-03	9.110861e-02	9.318979e-03
3.978263470344245e-03	6.486616e-02	9.330507e-03
4.954825970344245e-03	5.068325e-02	9.336666e-03
5.931388470344245e-03	4.167961e-02	9.340677e-03
6.907950970344245e-03	3.542137e-02	9.343509e-03
7.884513470344245e-03	3.080686e-02	9.339248e-03
8.861075970344245e-03	2.726884e-02	9.343026e-03
9.837638470344245e-03	2.446884e-02	9.345565e-03
1.081420097034425e-02	2.219215e-02	9.347421e-03
1.179076347034425e-02	2.030431e-02	9.348837e-03
1.276732597034425e-02	1.871331e-02	9.349953e-03
1.374388847034425e-02	1.735410e-02	9.350856e-03
1.472045097034425e-02	1.617938e-02	9.351603e-03
1.569701347034425e-02	1.515389e-02	9.352230e-03
1.667357597034425e-02	1.425087e-02	9.352768e-03
1.765013847034425e-02	1.344958e-02	9.353232e-03
1.862670097034425e-02	1.273372e-02	9.353638e-03
2.057982597034425e-02	1.150886e-02	9.354314e-03
2.253295097034425e-02	1.049918e-02	9.354856e-03
2.448607597034425e-02	9.652500e-03	9.355301e-03
2.643920097034425e-02	8.932280e-03	9.355674e-03
2.936888847034425e-02	8.033295e-03	9.356131e-03
3.229857597034425e-02	7.298799e-03	9.356499e-03
3.522826347034425e-02	6.687415e-03	9.356802e-03
3.913451347034425e-02	6.015605e-03	9.357132e-03
4.304076347034425e-02	5.466485e-03	9.357400e-03
4.792357597034425e-02	4.906653e-03	9.357671e-03
5.280638847034425e-02	4.450855e-03	9.357891e-03
5.866576347034425e-02	4.004481e-03	9.358105e-03
6.550170097034425e-02	3.585030e-03	9.358305e-03
7.233763847034425e-02	3.245127e-03	9.358468e-03
8.015013847034425e-02	2.927880e-03	9.358618e-03
8.893920097034425e-02	2.637778e-03	9.358755e-03
9.968138847034425e-02	2.352850e-03	9.358890e-03
1.114001384703442e-01	2.104825e-03	9.359008e-03
1.250720134703442e-01	1.874316e-03	9.359117e-03
1.406970134703442e-01	1.665824e-03	9.359215e-03
1.592517009703442e-01	1.471456e-03	9.359307e-03
